0,名称,年份,国家,类型,导演,评价人数,评分
1,肖申克的救赎,1994,美国,犯罪 剧情, 弗兰克·德拉邦特 Frank Darabont,1111833,9.6
2,霸王别姬,1993,中国大陆 香港,剧情 爱情 同性, 陈凯歌 Kaige Chen,811410,9.5
3,这个杀手不太冷,1994,法国,剧情 动作 犯罪, 吕克·贝松 Luc Besson,1030489,9.4
4,阿甘正传,1994,美国,剧情 爱情, Robert Zemeckis,878944,9.4
5,美丽人生,1997,意大利,剧情 喜剧 爱情 战争, 罗伯托·贝尼尼 Roberto Benigni,513037,9.5
6,泰坦尼克号,1997,美国,剧情 爱情 灾难, 詹姆斯·卡梅隆 James Cameron,817615,9.3
7,千与千寻,2001,日本,剧情 动画 奇幻, 宫崎骏 Hayao Miyazaki,818349,9.3
8,辛德勒的名单,1993,美国,剧情 历史 战争, 史蒂文·斯皮尔伯格 Steven Spielberg,464382,9.4
9,盗梦空间,2010,美国 英国,剧情 科幻 悬疑 冒险, 克里斯托弗·诺兰 Christopher Nolan,906557,9.3
10,机器人总动员,2008,美国,爱情 科幻 动画 冒险, 安德鲁·斯坦顿 Andrew Stanton,597466,9.3
11,忠犬八公的故事,2009,美国 英国,剧情, 莱塞·霍尔斯道姆 Lasse Hallström,574928,9.3
12,三傻大闹宝莱坞,2009,印度,剧情 喜剧 爱情 歌舞, 拉库马·希拉尼 Rajkumar Hirani,815020,9.2
13,海上钢琴师,1998,意大利,剧情 音乐, 朱塞佩·托纳多雷 Giuseppe Tornatore,688692,9.2
14,放牛班的春天,2004,法国 瑞士 德国,剧情 音乐, 克里斯托夫·巴拉蒂 Christophe Barratier,552100,9.2
15,大话西游之大圣娶亲,1995,香港 中国大陆,喜剧 爱情 奇幻 冒险, 刘镇伟 Jeffrey Lau,606392,9.2
16,楚门的世界,1998,美国,剧情 科幻, 彼得·威尔 Peter Weir,581448,9.1
17,教父,1972,美国,剧情 犯罪, 弗朗西斯·福特·科波拉 Francis Ford Coppola,410676,9.2
18,龙猫,1988,日本,动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki,505223,9.1
19,星际穿越,2014,美国 英国 加拿大 冰岛,剧情 科幻 冒险, 克里斯托弗·诺兰 Christopher Nolan,604179,9.2
20,熔炉,2011,韩国,剧情, 黄东赫 Dong-hyuk Hwang,336043,9.2
21,无间道,2002,香港,剧情 犯罪 悬疑, 刘伟强 / 麦兆辉,493185,9.1
22,触不可及,2011,法国,剧情 喜剧, 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,441150,9.2
23,乱世佳人,1939,美国,剧情 历史 爱情 战争, 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,316000,9.2
24,当幸福来敲门,2006,美国,剧情 传记 家庭, 加布里尔·穆奇诺 Gabriele Muccino,650431,9.0
25,怦然心动,2010,美国,剧情 喜剧 爱情, 罗伯·莱纳 Rob Reiner,691709,8.9
26,天堂电影院,1988,意大利 法国,剧情 爱情, 朱塞佩·托纳多雷 Giuseppe Tornatore,351670,9.1
27,疯狂动物城,2016,美国,喜剧 动画 冒险, 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,646154,9.1
28,十二怒汉,1957,美国,剧情, Sidney Lumet,202095,9.4
29,蝙蝠侠：黑暗骑士,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚, 克里斯托弗·诺兰 Christopher Nolan,398480,9.1
30,鬼子来了,2000,中国大陆,剧情 历史 战争, 姜文 Wen Jiang,280901,9.2
31,少年派的奇幻漂流,2012,美国 台湾 英国 加拿大,剧情 奇幻 冒险, 李安 Ang Lee,678284,9.0
32,活着,1994,中国大陆 香港,剧情 历史 家庭, 张艺谋 Yimou Zhang,330990,9.1
33,搏击俱乐部,1999,美国 德国,剧情 动作 悬疑 惊悚, 大卫·芬奇 David Fincher,451510,9.0
34,指环王3：王者无敌,2003,美国 新西兰,剧情 动作 奇幻 冒险, 彼得·杰克逊 Peter Jackson,333701,9.1
35,天空之城,1986,日本,动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki,391416,9.0
36,大话西游之月光宝盒,1995,香港 中国大陆,喜剧 爱情 奇幻 冒险, 刘镇伟 Jeffrey Lau,488109,8.9
37,飞屋环游记,2009,美国,剧情 喜剧 动画 冒险, 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,592105,8.9
38,控方证人,1957,美国,剧情 犯罪 悬疑, 比利·怀尔德 Billy Wilder,127314,9.6
39,罗马假日,1953,美国,喜剧 剧情 爱情, 威廉·惠勒 William Wyler,451262,8.9
40,窃听风暴,2006,德国,剧情 悬疑, 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck,265376,9.1
41,两杆大烟枪,1998,英国,剧情 喜剧 犯罪, Guy Ritchie,310918,9.1
42,飞越疯人院,1975,美国,剧情, 米洛斯·福尔曼 Miloš Forman,314372,9.0
43,闻香识女人,1992,美国,剧情, 马丁·布莱斯 Martin Brest,381613,8.9
44,哈尔的移动城堡,2004,日本,动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki,420606,8.9
45,辩护人,2013,韩国,剧情, 杨宇硕 Woo-seok Yang,259606,9.2
